model_1: [0.6884785333170186, 0.5388936906821169]
realmodel_64small_1000: [0.5848488421346797, 0.7271279015484646]
trainmodel_64small_1000: [0.5755470026086389, 0.7360251275015329]

realmodel_64small_half_1000: [0.6888614731197638, 0.5458081244082933]
trainmodel_64small_half_1000: [0.6898607495414766, 0.5412344399164656]

realmodel_64_1000: [1.2783547074999873, 0.6675011378610791]
trainmodel_64_1000: [0.5002519509606524, 0.818235615353817]

model_512_1000: [1.4535427461388875, 0.6693218027020673]
realmodel_512_2000: [1.599403193415293, 0.6231633535519487]
trainmodel_512_2000: [0.5466527318888516, 0.7882088520055325]
realmodel_512_3000: [1.7104477975630203, 0.6188418322734619]
trainmodel_512_3000: [0.5686202243815484, 0.7873443982578082]

model_1024_1000: [1.8757390612409937, 0.6618115612605403]
realmodel_1024_2000: [1.7991270759338538, 0.6352636128432192]
trainmodel_1024_2000: [0.5870646807168035, 0.7896784231540738]
realmodel_1024_3000: [1.8599745413302964, 0.63612791707831]
trainmodel_1024_3000: [0.599132928116193, 0.7899377592536588]

realmodel_newFeatures_64_10: [0.6925978695614748, 0.5125324114603325]
trainmodel_newFeatures_64_10: [0.6915049468003532, 0.5246369295430217]
realmodel_newFeatures_64_100: [0.6904208814675373, 0.53068280037148]
trainmodel_newFeatures_64_100: [0.6860147881145134, 0.5490145228215768]
realmodel_newFeatures64_500: [0.6926560191213827, 0.541486603284356]
trainmodel_newFeatures64_500: [0.6767542834598493, 0.5716632088520055]

realmodel_newFeatures_onlySentiment64_500: [0.6924189205507626, 0.5073465859982714]
trainmodel_newFeatures_onlySentiment64_500: [0.690411852520696, 0.5251556016597511]
realmodel_newFeatures_onlySentiment64_1000: [0.6936388790040771, 0.5056179775538482]
trainmodel_newFeatures_onlySentiment64_1000: [0.6906298269539618, 0.5259336099172859]
realmodel_newFeatures64_1000: [0.6910786188256668, 0.5388936905275673]
trainmodel_newFeatures64_1000: [0.671960650720372, 0.5816908713692946]

#pos neg neu score included
realmodel_newFeatures64_100: [0.6876037543254776, 0.5531547103550482]
trainmodel_newFeatures64_100: [0.6857704544957742, 0.5452973720608575]

realmodel_newFeatures300_300: [0.6807918931351928, 0.567847882454624]
trainmodel_newFeatures300_300: [0.680297656233944, 0.5579208991157588]
realmodel_newFeatures_3_300_1000: [0.7821162307478791, 0.5397579947626581]
trainmodel_newFeatures_3_300_1000: [0.6455918948542667, 0.6135725090950438]
