,market_date,company_symbol,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment,is_volatile
0,2010-09-01,UAA,1,1,0,1,2,1,2,0,positive,0
1,2010-09-01,NBL,0,0,0,1,0,1,0,1,negative,0
2,2010-09-01,AIG,0,2,0,1,1,0,1,2,positive,0
3,2010-09-01,BMY,0,2,0,1,1,0,0,1,positive,0
4,2010-09-01,GS,4,6,4,4,4,2,1,8,neutral,0
5,2010-09-01,BAC,1,1,1,4,1,2,0,3,negative,0
6,2010-09-01,NDAQ,0,0,0,0,0,0,0,0,neutral,0
7,2010-09-01,C,0,1,0,0,1,0,0,1,positive,0
8,2010-09-01,MCO,3,0,1,2,0,3,1,0,negative,0
9,2010-09-01,AAPL,0,1,1,1,0,0,0,0,positive,0
10,2010-09-01,ETFC,3,3,2,2,1,2,2,3,positive,0
11,2010-09-02,MS,0,0,0,1,0,1,0,1,neutral,0
12,2010-09-02,AIG,3,4,2,3,3,3,4,1,negative,0
13,2010-09-02,AGN,0,1,0,0,0,0,0,0,neutral,0
14,2010-09-02,GS,1,1,1,1,1,1,1,2,positive,0
15,2010-09-02,DISCK,2,0,0,3,1,1,0,2,neutral,0
16,2010-09-02,GE,0,0,0,0,0,0,0,0,negative,0
17,2010-09-02,STX,0,3,0,0,3,0,2,4,positive,0
18,2010-09-02,NDAQ,1,5,2,2,3,2,4,4,positive,0
19,2010-09-02,C,2,0,1,1,0,1,0,2,negative,0
20,2010-09-02,EA,1,0,0,1,0,1,0,1,negative,0
21,2010-09-02,AAPL,3,1,2,2,1,1,2,2,positive,0
22,2010-09-02,ETFC,0,3,1,1,1,0,2,3,positive,1
23,2010-09-02,CINF,1,0,0,1,0,0,0,2,neutral,0
24,2010-09-03,PNC,0,0,0,0,0,0,1,1,positive,1
25,2010-09-03,APA,0,0,1,0,0,0,0,1,neutral,0
26,2010-09-03,PG,0,0,1,0,0,0,0,1,positive,0
27,2010-09-03,CSCO,0,1,0,0,0,0,0,1,positive,1
28,2010-09-03,ABT,0,1,0,2,0,1,0,1,negative,0
29,2010-09-03,NBL,1,1,1,2,0,1,0,3,positive,1
30,2010-09-03,AIG,0,0,0,0,0,0,0,2,positive,1
31,2010-09-03,XOM,0,1,0,0,0,0,0,1,positive,0
32,2010-09-03,NKE,1,1,1,1,2,1,1,1,positive,1
33,2010-09-03,GS,1,1,0,0,0,1,0,0,negative,1
34,2010-09-03,TTWO,0,4,0,1,3,0,1,1,positive,1
35,2010-09-03,IBM,1,0,0,0,0,0,1,0,neutral,1
36,2010-09-03,GE,0,0,1,1,0,1,1,1,neutral,1
37,2010-09-03,PRU,0,4,0,0,3,0,1,2,positive,1
38,2010-09-03,NDAQ,0,1,0,1,0,2,1,1,neutral,1
39,2010-09-03,ETFC,7,6,5,8,6,3,2,9,positive,1
40,2010-09-03,WAT,1,2,2,0,2,1,2,1,neutral,1
41,2010-09-03,CINF,1,0,0,1,0,0,0,1,neutral,1
42,2010-09-07,APD,0,3,1,0,2,0,1,2,positive,0
43,2010-09-07,ED,0,1,0,1,1,0,1,1,positive,0
44,2010-09-07,PFE,2,0,1,3,1,3,1,1,neutral,0
45,2010-09-07,FDX,0,1,1,1,1,1,0,0,neutral,0
46,2010-09-07,NBL,2,1,1,1,1,2,1,1,negative,0
47,2010-09-07,ORCL,1,2,0,0,1,0,1,2,positive,1
48,2010-09-07,AIG,2,1,1,1,1,1,1,1,neutral,1
49,2010-09-07,EIX,0,1,0,1,1,0,1,1,positive,0
50,2010-09-07,VZ,1,0,0,1,1,1,0,1,neutral,0
51,2010-09-07,CPB,1,2,1,0,2,1,0,0,positive,0
52,2010-09-07,GS,0,0,0,0,0,0,0,0,positive,0
53,2010-09-07,TTWO,1,0,0,1,0,0,0,0,negative,0
54,2010-09-07,IBM,4,3,0,2,2,0,1,3,positive,1
55,2010-09-07,DISCK,0,0,0,1,0,0,0,0,negative,1
56,2010-09-07,HD,0,0,1,0,0,0,0,0,neutral,1
57,2010-09-07,NDAQ,0,3,0,0,1,1,1,4,positive,1
58,2010-09-07,C,0,0,0,0,0,1,0,0,negative,1
59,2010-09-07,MCO,0,0,0,0,0,0,0,0,neutral,1
60,2010-09-07,AAPL,1,0,1,1,0,0,0,0,neutral,0
61,2010-09-07,HRB,1,1,1,3,0,2,1,0,negative,1
62,2010-09-07,ETFC,5,10,4,6,6,7,1,12,positive,0
63,2010-09-07,NRG,1,1,1,2,2,2,0,3,negative,0
64,2010-09-07,CINF,0,4,0,1,5,2,2,5,positive,1
65,2010-09-08,HRS,0,0,0,1,0,0,0,0,negative,0
66,2010-09-08,ORCL,1,0,0,1,0,1,0,1,negative,0
67,2010-09-08,AIG,0,1,0,1,1,0,0,1,positive,1
68,2010-09-08,BMY,0,1,0,0,0,0,0,1,positive,0
69,2010-09-08,GS,0,0,0,0,0,0,0,1,neutral,0
70,2010-09-08,HD,0,1,0,0,1,0,0,1,neutral,0
71,2010-09-08,PRU,1,2,0,0,2,1,2,2,neutral,0
72,2010-09-08,NDAQ,0,3,1,0,1,0,0,1,neutral,0
73,2010-09-08,TSN,0,0,0,0,0,0,0,0,positive,1
74,2010-09-08,NFLX,0,1,0,0,1,0,0,1,positive,0
75,2010-09-08,ETFC,1,2,2,2,1,2,0,1,negative,0
76,2010-09-09,HAL,2,2,0,2,1,0,0,2,positive,0
77,2010-09-09,APD,0,2,0,0,1,1,1,3,positive,0
78,2010-09-09,VIAB,0,0,0,0,0,0,0,0,positive,0
79,2010-09-09,HRS,2,1,1,1,0,2,1,0,negative,0
80,2010-09-09,FDX,1,1,0,0,1,0,0,3,positive,0
81,2010-09-09,ORCL,1,2,0,1,0,2,1,1,neutral,0
82,2010-09-09,NOC,1,0,1,2,0,1,0,1,negative,0
83,2010-09-09,AIG,10,5,7,10,4,9,7,9,negative,0
84,2010-09-09,AGN,1,1,0,1,1,0,0,1,positive,0
85,2010-09-09,GS,2,4,2,2,1,2,1,6,positive,0
86,2010-09-09,LMT,1,0,1,2,0,1,0,1,negative,0
87,2010-09-09,NDAQ,2,4,1,2,3,3,1,3,positive,0
88,2010-09-09,C,0,1,0,0,1,0,0,2,positive,0
89,2010-09-09,AAPL,2,0,2,3,1,4,0,1,positive,0
90,2010-09-09,ETFC,3,4,1,4,4,2,2,9,positive,1
91,2010-09-10,MS,0,1,0,0,1,0,0,2,positive,0
92,2010-09-10,MSFT,2,1,1,2,1,1,1,2,neutral,0
93,2010-09-10,AIG,5,4,2,1,1,1,3,5,positive,0
94,2010-09-10,GS,0,2,0,0,1,0,0,6,positive,0
95,2010-09-10,DUK,0,3,0,1,3,0,1,1,positive,0
96,2010-09-10,HD,1,2,1,1,1,1,0,2,neutral,0
97,2010-09-10,EBAY,0,1,0,1,0,1,1,0,neutral,0
98,2010-09-10,NDAQ,3,4,1,4,2,3,3,4,neutral,0
99,2010-09-10,EA,1,1,0,2,1,0,0,0,neutral,0
100,2010-09-10,AAPL,0,1,0,1,0,0,1,1,positive,0
101,2010-09-10,ETFC,4,8,3,6,6,4,0,10,negative,0
102,2010-09-10,MCD,0,1,0,0,0,0,0,1,positive,0
103,2010-09-13,F,3,2,0,2,2,1,1,2,negative,1
104,2010-09-13,HRS,2,1,1,1,0,2,1,0,negative,1
105,2010-09-13,MS,0,0,2,1,0,0,0,0,negative,0
106,2010-09-13,BK,0,0,0,0,0,0,0,0,positive,1
107,2010-09-13,MSFT,6,2,4,7,2,3,2,4,negative,1
108,2010-09-13,AIG,7,13,9,12,8,6,4,13,positive,0
109,2010-09-13,HIG,1,3,3,1,3,0,2,3,positive,1
110,2010-09-13,VZ,1,2,0,1,1,0,0,2,positive,0
111,2010-09-13,CCL,1,1,0,0,3,1,0,3,positive,0
112,2010-09-13,GS,3,0,1,2,1,3,1,3,positive,1
113,2010-09-13,XRX,0,1,0,0,1,0,1,3,positive,1
114,2010-09-13,VNO,1,0,2,1,0,1,1,0,negative,1
115,2010-09-13,BAC,2,2,0,1,1,1,1,1,positive,1
116,2010-09-13,IBM,2,2,1,3,0,3,0,1,negative,1
117,2010-09-13,SCHW,2,2,0,1,1,1,1,1,positive,1
118,2010-09-13,DISCK,0,2,1,0,0,0,0,1,positive,0
119,2010-09-13,PRU,0,0,0,0,0,0,0,0,negative,1
120,2010-09-13,NDAQ,0,1,0,1,0,0,0,1,positive,1
